gene,group,bin,n,mean,zc
Cyp2e1,CLP,8,3295,1.4501112699508667,-0.17021167
Cyp2e1,CLP,9,3295,1.6891072988510132,-0.053990714
Ass1,Sham,0,3420,2.040167808532715,-0.7282628
Ass1,Sham,1,3419,2.027711868286133,-0.5630905
Ass1,Sham,2,3420,1.9386768341064453,-0.48928714
Ass1,Sham,3,3419,1.8161141872406006,-0.44062132
Ass1,Sham,4,3419,1.7163907289505005,-0.39919755
Ass1,Sham,5,3420,1.64207124710083,-0.35999492
Ass1,Sham,6,3419,1.5641038417816162,-0.32021022
Ass1,Sham,7,3420,1.4388748407363892,-0.27493734000000003
Ass1,Sham,8,3419,1.3105571269989014,-0.21551788
Ass1,Sham,9,3420,1.1035836935043335,-0.11035838749999999
Ass1,CLP,0,3295,1.7539880275726318,-0.7252295
Ass1,CLP,1,3295,1.6802879571914673,-0.6332191
Ass1,CLP,2,3295,1.5256099700927734,-0.56623507
Ass1,CLP,3,3295,1.4076613187789917,-0.5058848
Ass1,CLP,4,3295,1.2541043758392334,-0.4482787
Ass1,CLP,5,3295,1.1721571683883667,-0.38891482
Ass1,CLP,6,3295,1.021809697151184,-0.3239999
Ass1,CLP,7,3295,0.7258660197257996,-0.2528145
Ass1,CLP,8,3295,0.48220130801200867,-0.17021167
Ass1,CLP,9,3295,0.33629411458969116,-0.053990714
Cps1,Sham,0,3420,2.5027241706848145,-0.7282628
Cps1,Sham,1,3419,2.6026670932769775,-0.5630905
Cps1,Sham,2,3420,2.6269850730895996,-0.48928714
Cps1,Sham,3,3419,2.633598566055298,-0.44062132
Cps1,Sham,4,3419,2.6324779987335205,-0.39919755
Cps1,Sham,5,3420,2.6345603466033936,-0.35999492
Cps1,Sham,6,3419,2.6276321411132812,-0.32021022
Cps1,Sham,7,3420,2.6108973026275635,-0.27493734000000003
Cps1,Sham,8,3419,2.5873947143554688,-0.21551788
Cps1,Sham,9,3420,2.404691696166992,-0.11035838749999999
Cps1,CLP,0,3295,2.562808036804199,-0.7252295
Cps1,CLP,1,3295,2.557159662246704,-0.6332191
Cps1,CLP,2,3295,2.512577533721924,-0.56623507
Cps1,CLP,3,3295,2.4719810485839844,-0.5058848
Cps1,CLP,4,3295,2.4564006328582764,-0.4482787
Cps1,CLP,5,3295,2.4234018325805664,-0.38891482
Cps1,CLP,6,3295,2.3559622764587402,-0.3239999
Cps1,CLP,7,3295,2.190835952758789,-0.2528145
Cps1,CLP,8,3295,1.775506854057312,-0.17021167
Cps1,CLP,9,3295,1.3287094831466675,-0.053990714
Pck1,Sham,0,3420,2.3787946701049805,-0.7282628
Pck1,Sham,1,3419,2.558802366256714,-0.5630905
Pck1,Sham,2,3420,2.590000867843628,-0.48928714
Pck1,Sham,3,3419,2.594827890396118,-0.44062132
Pck1,Sham,4,3419,2.592430591583252,-0.39919755
Pck1,Sham,5,3420,2.5994157791137695,-0.35999492
Pck1,Sham,6,3419,2.575664520263672,-0.32021022
Pck1,Sham,7,3420,2.5488040447235107,-0.27493734000000003
Pck1,Sham,8,3419,2.5176358222961426,-0.21551788
Pck1,Sham,9,3420,2.360779285430908,-0.11035838749999999
Pck1,CLP,0,3295,2.3020951747894287,-0.7252295
Pck1,CLP,1,3295,2.3189876079559326,-0.6332191
Pck1,CLP,2,3295,2.3005311489105225,-0.56623507
Pck1,CLP,3,3295,2.2915420532226562,-0.5058848
Pck1,CLP,4,3295,2.2708499431610107,-0.4482787
Pck1,CLP,5,3295,2.247791290283203,-0.38891482
Pck1,CLP,6,3295,2.1797409057617188,-0.3239999
Pck1,CLP,7,3295,2.0139942169189453,-0.2528145
Pck1,CLP,8,3295,1.674220085144043,-0.17021167
Pck1,CLP,9,3295,1.3949025869369507,-0.053990714
Apoe,Sham,0,3420,2.1677451133728027,-0.7282628
Apoe,Sham,1,3419,2.612522602081299,-0.5630905
Apoe,Sham,2,3420,2.684422492980957,-0.48928714
Apoe,Sham,3,3419,2.699737071990967,-0.44062132
Apoe,Sham,4,3419,2.710139513015747,-0.39919755
Apoe,Sham,5,3420,2.713843822479248,-0.35999492
Apoe,Sham,6,3419,2.7089152336120605,-0.32021022
Apoe,Sham,7,3420,2.699122428894043,-0.27493734000000003
Apoe,Sham,8,3419,2.689871072769165,-0.21551788
Apoe,Sham,9,3420,2.5945050716400146,-0.11035838749999999
Apoe,CLP,0,3295,1.517572045326233,-0.7252295
Apoe,CLP,1,3295,1.5760977268218994,-0.6332191
Apoe,CLP,2,3295,1.6598740816116333,-0.56623507
Apoe,CLP,3,3295,1.721247911453247,-0.5058848
Apoe,CLP,4,3295,1.7665419578552246,-0.4482787
Apoe,CLP,5,3295,1.7988260984420776,-0.38891482
Apoe,CLP,6,3295,1.850916862487793,-0.3239999
Apoe,CLP,7,3295,1.895535945892334,-0.2528145
Apoe,CLP,8,3295,1.8910808563232422,-0.17021167
